Index,Filename,Roll,Min/Max,y_proba_Min,y_proba_Max,y_proba_Diff,TP(Min),TP(Max),TP_Diff,y_proba,Neg,Pos,mprob,TN,FP,FN,TP,FP/P
9377,BRFC_alpha_0_5_0_0_1_1_Easy_Round_4,mProb_50,Min,0.9383,0.9656,0.02729999999999999,2534,1195,1339,0.9383,302.0,305.0,0.5024711696869851,674109,2335,123722,2534,0.01849417057407173
9650,BRFC_alpha_0_5_0_0_1_1_Easy_Round_4,mProb_50,Max,0.9383,0.9656,0.02729999999999999,2534,1195,1339,0.9656,208.0,208.0,0.5,675520,924,125061,1195,0.007318464072994551
9589,BRFC_alpha_0_5_0_0_1_1_Easy_Round_4,mProb_100,Min,0.9595,0.9626,0.0030999999999999917,1471,1332,139,0.9595,443.0,443.0,0.5,675254,1190,124785,1471,0.00942529463946268
9620,BRFC_alpha_0_5_0_0_1_1_Easy_Round_4,mProb_100,Max,0.9595,0.9626,0.0030999999999999917,1471,1332,139,0.9626,444.0,439.0,0.4971687429218573,675391,1053,124924,1332,0.008340197693574958
9613,BRFC_alpha_0_5_0_0_1_1_Easy_Round_4,mProb_200,Min,0.9619,0.9625,0.0006000000000000449,1362,1337,25,0.9619,889.0,889.0,0.5,675361,1083,124894,1362,0.00857781016347738
9619,BRFC_alpha_0_5_0_0_1_1_Easy_Round_4,mProb_200,Max,0.9619,0.9625,0.0006000000000000449,1362,1337,25,0.9625,879.0,875.0,0.49885974914481185,675387,1057,124919,1337,0.008371879356228615
9581,BRFC_alpha_0_5_0_0_1_1_Easy_Round_4,mProb_500,Min,0.9587,0.9588,9.999999999998899e-05,1496,1494,2,0.9587,2273.0,2273.0,0.5,675211,1233,124760,1496,0.00976587251298948
9582,BRFC_alpha_0_5_0_0_1_1_Easy_Round_4,mProb_500,Max,0.9587,0.9588,9.999999999998899e-05,1496,1494,2,0.9588,2274.0,2272.0,0.4997800263968324,675216,1228,124762,1494,0.009726270434672411
3509,KBFC_alpha_0_5_gamma_0_0_0_0_1_1_Hard_Round_4,mProb_1,Min,0.351,0.971,0.62,42132,0,42132,0.351,19.0,24.0,0.5581395348837209,631416,45028,84124,42132,0.3566404764922063
9230,KBFC_alpha_0_5_gamma_0_0_0_0_1_1_Hard_Round_4,mProb_1,Max,0.351,0.971,0.62,42132,0,42132,0.971,1.0,0.0,0.0,676444,0,126256,0,0.0
4803,KBFC_alpha_0_5_gamma_0_0_0_0_1_1_Hard_Round_4,mProb_10,Min,0.4804,0.6002,0.11979999999999996,24626,14635,9991,0.4804,98.0,99.0,0.5025380710659898,659499,16945,101630,24626,0.1342114434165505
6001,KBFC_alpha_0_5_gamma_0_0_0_0_1_1_Hard_Round_4,mProb_10,Max,0.4804,0.6002,0.11979999999999996,24626,14635,9991,0.6002,65.0,62.0,0.4881889763779528,669464,6980,111621,14635,0.05528450133062983
4985,KBFC_alpha_0_5_gamma_0_0_0_0_1_1_Hard_Round_4,mProb_20,Min,0.4986,0.5796,0.08100000000000002,22795,16001,6794,0.4986,214.0,214.0,0.5,661677,14767,103461,22795,0.11696077810163477
