Index,Filename,Roll,Min/Max,Min,Max,Diff,y_proba,Prec,TN,FP,FN,TP,FP/P
6913,KBFC_alpha_0_5_gamma_0_0_0_1_1_1_Medium_Round_4,Prec_50,Max,0.6761,0.7008,0.024699999999999944,0.7008,0.6766520838130324,676162,282,125667,589,0.0022335572170827525
6687,KBFC_alpha_0_5_gamma_0_0_0_1_1_1_Medium_Round_4,Prec_100,Min,0.6754,0.7,0.024599999999999955,0.6754,0.656707842573973,675967,477,125342,914,0.0037780382714484857
6907,KBFC_alpha_0_5_gamma_0_0_0_1_1_1_Medium_Round_4,Prec_100,Max,0.6754,0.7,0.024599999999999955,0.7,0.6765196284155485,676159,285,125662,594,0.0022573184640729944
6684,KBFC_alpha_0_5_gamma_0_0_0_1_1_1_Medium_Round_4,Prec_200,Min,0.675,0.6997,0.024699999999999944,0.675,0.656805427292747,675963,481,125334,922,0.0038097199341021416
6904,KBFC_alpha_0_5_gamma_0_0_0_1_1_1_Medium_Round_4,Prec_200,Max,0.675,0.6997,0.024699999999999944,0.6997,0.6766212754482945,676156,288,125659,597,0.0022810797110632366
6721,KBFC_alpha_0_5_gamma_0_0_0_1_1_1_Medium_Round_4,Prec_500,Min,0.6795,0.7021,0.022599999999999953,0.6795,0.6567919493582919,676004,440,125397,859,0.003484982891902167
6923,KBFC_alpha_0_5_gamma_0_0_0_1_1_1_Medium_Round_4,Prec_500,Max,0.6795,0.7021,0.022599999999999953,0.7021,0.6766292145234689,676172,272,125683,573,0.002154353060448612
6820,KBFC_alpha_0_5_gamma_0_0_0_1_1_1_Medium_Round_4,Prec_1000,Min,0.6902,0.7107,0.020499999999999963,0.6902,0.6567410067463075,676090,354,125534,722,0.0028038271448485616
6990,KBFC_alpha_0_5_gamma_0_0_0_1_1_1_Medium_Round_4,Prec_1000,Max,0.6902,0.7107,0.020499999999999963,0.7107,0.6682655656359012,676223,221,125775,481,0.0017504118616144975
6490,KBFC_alpha_0_5_gamma_0_0_0_1_1_1_Medium_Round_4,Prec_2000,Max,,0.6539,,0.6539,0.609823534165595,675707,737,124954,1302,0.00583734634393613
4381,KBFC_alpha_0_5_gamma_0_0_0_1_1_1_Easy_Round_4,Prec_1,Min,0.4978,0.5029,0.005099999999999993,0.4978,0.7,676441,3,126249,7,2.376124699024205e-05
4383,KBFC_alpha_0_5_gamma_0_0_0_1_1_1_Easy_Round_4,Prec_1,Max,0.4978,0.5029,0.005099999999999993,0.5029,0.6,676442,2,126253,3,1.5840831326828033e-05
4382,KBFC_alpha_0_5_gamma_0_0_0_1_1_1_Easy_Round_4,Prec_10,Max,,0.5005,,0.5005,0.5546218487394958,676441,3,126250,6,2.376124699024205e-05
4377,KBFC_alpha_0_5_gamma_0_0_0_1_1_1_Easy_Round_4,Prec_20,Max,,0.4927,,0.4927,0.5478260869565217,676431,13,126244,12,0.00010296540362438221
4362,KBFC_alpha_0_5_gamma_0_0_0_1_1_1_Easy_Round_4,Prec_50,Max,,0.4827,,0.4827,0.48288,676412,32,126221,35,0.0002534533012292485
4337,KBFC_alpha_0_5_gamma_0_0_0_1_1_1_Easy_Round_4,Prec_100,Max,,0.4743,,0.4743,0.4685507360466032,676379,65,126202,54,0.000514827018121911
4287,KBFC_alpha_0_5_gamma_0_0_0_1_1_1_Easy_Round_4,Prec_200,Max,,0.4647,,0.4647,0.45874895124452314,676298,146,126130,126,0.0011563806868584462
4137,KBFC_alpha_0_5_gamma_0_0_0_1_1_1_Easy_Round_4,Prec_500,Max,,0.4423,,0.4423,0.43632390102886615,676046,398,125928,328,0.0031523254340387785
3887,KBFC_alpha_0_5_gamma_0_0_0_1_1_1_Easy_Round_4,Prec_1000,Max,,0.4135,,0.4135,0.4019625598832612,675329,1115,125431,825,0.008831263464706628
3387,KBFC_alpha_0_5_gamma_0_0_0_1_1_1_Easy_Round_4,Prec_2000,Max,,0.363,,0.363,0.3403908309376517,671128,5316,122985,3271,0.04210492966670891
