Index,Filename,Roll,Min/Max,Min,Max,Diff,y_proba,Neg,Pos,mprob,TN,FP,FN,TP,FP/P,,,Model,Features,Roll,$p$,Neg,Pos,$m$Prob,TP,Recall,Model & Features & Roll & $p$ & Neg & Pos & $m$Prob & TP & Recall
5641,LogReg_alpha_0_5_Medium_Run_0_Round_4,mProb_500,Max,0.5173,0.5781,0.0608,0.5781,1269,1319,0.509659969,604343,1267,106454,1502,0.011736263,1502,2,,,,,,,,,,
1144,AdaBoost_Medium_Run_0_Round_5,mProb_50,Max,0.50025,0.50087,0.00062,0.50087,1173,1215,0.50879397,604460,1150,106583,1373,0.010652488,1373,2,,,,,,,,,,
8065,LogReg_alpha_balanced_Medium_Run_0_Round_4,mProb_200,Max,0.8655,0.8913,0.0258,0.8913,1169,1209,0.508410429,604421,1189,106583,1373,0.011013746,1373,2,,,,,,,,,,
9630,BRFC_alpha_0_5_Easy_Run_0_Round_4,mProb_500,Max,0.9643,0.9648,0.0005,0.9648,1610,1601,0.498598567,604973,637,107196,760,0.005900552,760,3,"Bal RF, $\alpha = 0.5$",Easy,500,0.5522,"1,610","1,601",0.4986,760,0.007,"Bal RF, $\alpha = 0.5$ & Easy & 500 & 0.5522 & 1,610 & 1,601 & 0.4986 & 760 & 0.007"
9868,BRFC_alpha_balanced_Easy_Run_0_Round_4,mProb_100,Max,0.9918,0.9936,0.0018,0.9936,522,541,0.508936971,605343,267,107619,337,0.00247323,337,3,,,,,,,,,,
830,EEC_Medium_Run_0_Round_4,mProb_100,Max,0.5516,0.5528,0.0012,0.5528,2280,2212,0.492430988,605354,256,107619,337,0.002371336,337,2,,,,,,,,,,
1609,RFC_Medium_Run_0_Round_4,mProb_100,Max,0.259,0.2674,0.0084,0.2674,279,271,0.492727273,605558,52,107896,60,0.000481678,60,2,,,,,,,,,,
7546,KBFC_alpha_balanced_gamma_0_0_Easy_Run_0_Round_4,mProb_10,Max,0.7982,0.8542,0.056,0.8542,12,12,0.5,605568,42,107923,33,0.000389047,33,3,"Keras, $\alpha = 0.85$, $\gamma = 0.0$",Easy,10,0.5174,12,12,0.5,33,0.0003,"Keras, $\alpha = 0.85$, $\gamma = 0.0$ & Easy & 10 & 0.5174 & 12 & 12 & 0.5 & 33 & 0.0003"
3364,KBFC_alpha_0_5_gamma_2_0_Easy_Run_0_Round_4,mProb_20,Max,0.4825,0.5174,0.0349,0.5174,13,13,0.5,605560,50,107926,30,0.000463152,30,3,,,,,,,,,,
4196,KBFC_alpha_0_5_gamma_1_0_Easy_Run_0_Round_4,mProb_20,Max,0.4834,0.5513,0.0679,0.5513,13,13,0.5,605591,19,107939,17,0.000175998,17,3,,,,,,,,,,
3870,LogReg_alpha_0_5_Easy_Run_0_Round_4,mProb_1,Max,0.2912,0.4402,0.149,0.4402,1,1,0.5,605596,14,107944,12,0.000129682,12,3,,,,,,,,,,
1936,RUSBoost_Medium_Run_0_Round_5,mProb_1,Max,0.49014,0.51056,0.02042,0.51056,1,1,0.5,605589,21,107948,8,0.000194524,8,2,,,,,,,,,,
6264,LogReg_alpha_balanced_Easy_Run_0_Round_4,mProb_20,Max,0.8225,0.828,0.0055,0.828,10,10,0.5,605605,5,107952,4,4.63E-05,4,3,,,,,,,,,,
7167,AdaBoost_Easy_Run_0_Round_6,mProb_10,Max,0.499165,0.499692,0.000527,0.499692,5,5,0.5,605608,2,107954,2,1.85E-05,2,3,,,,,,,,,,
292,RUSBoost_Easy_Run_0_Round_4,mProb_1,Max,0.5142,0.5489,0.0347,0.5489,1,1,0.5,605599,11,107955,1,0.000101893,1,3,,,,,,,,,,
1266,AdaBoost_Hard_Run_0_Round_5,mProb_1,Min,0.49943,0.50499,0.00556,0.49943,109,111,0.504545455,590307,15303,92704,15252,0.141752195,,,,,,,,,,,,
1805,AdaBoost_Hard_Run_0_Round_5,mProb_1,Max,0.49943,0.50499,0.00556,0.50499,1,1,0.5,605602,8,107919,37,7.41E-05,,,,,,,,,,,,
