Index,len,Filename,min,max,Neg,Pos,$\frac{\text{Pos}}{\text{Neg}+\text{Pos}}$,TN,FP,FN,TP,Prec,Rec,FP/P,Hard,Medium,Easy
49027,49935,BalBag_Easy_Run_0,0.9,0.9,757,455,0.375412541,600476,5134,104345,3611,0.41292167,0.033448812,0.047556412,0,0,1
48926,49825,BalBag_Easy_Run_1,0.9,0.9,761,468,0.380797396,600578,5032,104363,3593,0.41657971,0.033282078,0.046611582,0,0,1
140362,143699,KBFC_alpha_0_5_gamma_1_0_Easy_Run_1,0.41934246,0.41934246,13,2,0.133333333,600217,5393,104763,3193,0.371884463,0.029576865,0.049955537,0,0,1
139217,142679,KBFC_alpha_0_5_gamma_2_0_Easy_Run_0,0.45087382,0.45087382,16,6,0.272727273,600219,5391,104789,3167,0.370063099,0.029336026,0.049937011,0,0,1
140816,144148,KBFC_alpha_0_5_gamma_0_0_Easy_Run_1,0.36219096,0.36219096,3,2,0.4,600212,5398,104863,3093,0.364268049,0.028650561,0.050001853,0,0,1
139335,142701,KBFC_alpha_0_5_gamma_2_0_Easy_Run_1,0.44857898,0.44857898,4,0,0,600212,5398,104878,3078,0.363142992,0.028511616,0.050001853,0,0,1
140745,144072,KBFC_alpha_0_5_gamma_0_0_Easy_Run_0,0.36472553,0.36472553,4,0,0,600214,5396,104881,3075,0.363003187,0.028483827,0.049983327,0,0,1
140536,143914,KBFC_alpha_balanced_gamma_0_0_Easy_Run_0,0.76009965,0.76009965,0,1,1,600214,5396,104891,3065,0.362250325,0.028391196,0.049983327,0,0,1
140002,143498,KBFC_alpha_0_5_gamma_1_0_Easy_Run_0,0.42414176,0.42414176,3,1,0.25,600212,5398,104903,3053,0.361259023,0.02828004,0.050001853,0,0,1
140562,143955,KBFC_alpha_balanced_gamma_0_0_Easy_Run_1,0.7565402,0.7565402,1,0,0,600212,5398,104947,3009,0.357916022,0.027872467,0.050001853,0,0,1
142282,144949,LogReg_alpha_0_5_Easy_Run_0,0.353967749,0.353967749,9,0,0,600215,5395,105202,2754,0.337955577,0.025510393,0.049974064,0,0,1
1084,1120,EEC_Easy_Run_1,0.528662967,0.528662967,27,15,0.357142857,600144,5466,105215,2741,0.333983185,0.025389974,0.050631739,0,0,1
142369,145049,LogReg_alpha_0_5_Easy_Run_1,0.354025263,0.354025263,2,1,0.333333333,600211,5399,105215,2741,0.336732187,0.025389974,0.050011116,0,0,1
142344,144949,LogReg_alpha_balanced_Easy_Run_0,0.759715116,0.759715116,2,0,0,600213,5397,105218,2738,0.336570375,0.025362185,0.04999259,0,0,1
142591,145207,LogReg_alpha_balanced_Easy_Run_1,0.75997108,0.75997108,19,9,0.321428571,600221,5389,105218,2738,0.336901686,0.025362185,0.049918485,0,0,1
142342,144949,AdaBoost_Easy_Run_0,0.498543924,0.498543924,1,0,0,600212,5398,105224,2732,0.33603936,0.025306606,0.050001853,0,0,1
142473,145065,AdaBoost_Easy_Run_1,0.498548499,0.498548499,2,0,0,600213,5397,105237,2719,0.33501725,0.025186187,0.04999259,0,0,1
873,900,EEC_Easy_Run_0,0.528457092,0.528457092,263,107,0.289189189,600324,5286,105274,2682,0.336596386,0.024843455,0.048964393,0,0,1
22083,22872,RFC_Easy_Run_0,0.209667261,0.209667261,8,4,0.333333333,600210,5400,105408,2548,0.320583795,0.023602208,0.050020379,0,0,1
46460,47035,RFC_Easy_Run_1,0.21605693,0.21605693,3,2,0.4,600206,5404,105460,2496,0.315949367,0.023120531,0.050057431,0,0,1
139231,141828,RUSBoost_Easy_Run_0,0.510525355,0.510525355,2,0,0,600212,5398,106057,1899,0.260243936,0.0175905,0.050001853,0,0,1
142677,145110,RUSBoost_Easy_Run_1,0.512711919,0.512711919,4,1,0.2,600212,5398,106088,1868,0.257087806,0.017303346,0.050001853,0,0,1
