Index,len,Filename,min,max,Neg,Pos,$\frac{\text{Pos}}{\text{Neg}+\text{Pos}}$,TN,FP,FN,TP,Prec,Rec,FP/P,Run_0,diff(min),diff(TP),diff(FP/P),diff(FP),,,,,Model,p,Neg,Pos,FP,TP,FP/P,
679251,695080,KBFC_alpha_0_5_gamma_0_0_Hard_Run_0,0.6159395,0.6159395,1,0,0,600212,5398,97362,10594,0.662456228,0.098132573,0.050001853,1,0.00843805,192,0,0,,,,,KBFC_alpha_0_5_gamma_0_0_Hard_Run_0,0.61594,1,0,"5,398","10,594",0.05,"KBFC_alpha_0_5_gamma_0_0_Hard_Run_0 & 0.61594 & 1 & 0 & 5,398 & 10,594 & 0.05\cr"
678145,694179,KBFC_alpha_0_5_gamma_0_0_Hard_Run_1,0.60750145,0.60750145,1,0,0,600212,5398,97170,10786,0.666460702,0.099911075,0.050001853,0,,,,,,,,,KBFC_alpha_0_5_gamma_0_0_Hard_Run_1,0.6075,1,0,"5,398","10,786",0.05,"KBFC_alpha_0_5_gamma_0_0_Hard_Run_1 & 0.6075 & 1 & 0 & 5,398 & 10,786 & 0.05\cr"
629512,640914,KBFC_alpha_0_5_gamma_0_0_Medium_Run_0,0.5117309,0.5117309,1,0,0,600212,5398,101643,6313,0.539065836,0.058477528,0.050001853,1,0.0091532,85,0,0,,,,,KBFC_alpha_0_5_gamma_0_0_Medium_Run_0,0.51173,1,0,"5,398","6,313",0.05,"KBFC_alpha_0_5_gamma_0_0_Medium_Run_0 & 0.51173 & 1 & 0 & 5,398 & 6,313 & 0.05\cr"
628130,639395,KBFC_alpha_0_5_gamma_0_0_Medium_Run_1,0.5208841,0.5208841,1,0,0,600212,5398,101728,6228,0.535695854,0.05769017,0.050001853,0,,,,,,,,,KBFC_alpha_0_5_gamma_0_0_Medium_Run_1,0.52088,1,0,"5,398","6,228",0.05,"KBFC_alpha_0_5_gamma_0_0_Medium_Run_1 & 0.52088 & 1 & 0 & 5,398 & 6,228 & 0.05\cr"
140002,143498,KBFC_alpha_0_5_gamma_1_0_Easy_Run_0,0.42414176,0.42414176,3,1,0.25,600212,5398,104903,3053,0.361259023,0.02828004,0.050001853,1,0.0047993,140,4.63152E-05,5,,,,,KBFC_alpha_0_5_gamma_1_0_Easy_Run_0,0.42414,3,1,"5,398","3,053",0.05,"KBFC_alpha_0_5_gamma_1_0_Easy_Run_0 & 0.42414 & 3 & 1 & 5,398 & 3,053 & 0.05\cr"
140362,143699,KBFC_alpha_0_5_gamma_1_0_Easy_Run_1,0.41934246,0.41934246,13,2,0.133333333,600217,5393,104763,3193,0.371884463,0.029576865,0.049955537,0,,,,,,,,,KBFC_alpha_0_5_gamma_1_0_Easy_Run_1,0.41934,13,2,"5,393","3,193",0.05,"KBFC_alpha_0_5_gamma_1_0_Easy_Run_1 & 0.41934 & 13 & 2 & 5,393 & 3,193 & 0.05\cr"
673511,689671,KBFC_alpha_0_5_gamma_1_0_Hard_Run_0,0.56428975,0.56428975,1,0,0,600212,5398,97010,10946,0.669725893,0.10139316,0.050001853,1,0.00514579,409,0,0,,,,,KBFC_alpha_0_5_gamma_1_0_Hard_Run_0,0.56429,1,0,"5,398","10,946",0.05,"KBFC_alpha_0_5_gamma_1_0_Hard_Run_0 & 0.56429 & 1 & 0 & 5,398 & 10,946 & 0.05\cr"
673556,689279,KBFC_alpha_0_5_gamma_1_0_Hard_Run_1,0.55914396,0.55914396,1,0,0,600212,5398,97419,10537,0.661248823,0.09760458,0.050001853,0,,,,,,,,,KBFC_alpha_0_5_gamma_1_0_Hard_Run_1,0.55914,1,0,"5,398","10,537",0.05,"KBFC_alpha_0_5_gamma_1_0_Hard_Run_1 & 0.55914 & 1 & 0 & 5,398 & 10,537 & 0.05\cr"
621489,632818,KBFC_alpha_0_5_gamma_1_0_Medium_Run_0,0.505561,0.505561,1,0,0,600212,5398,101662,6294,0.538316798,0.05830153,0.050001853,1,0.0120816,189,0,0,,,,,KBFC_alpha_0_5_gamma_1_0_Medium_Run_0,0.50556,1,0,"5,398","6,294",0.05,"KBFC_alpha_0_5_gamma_1_0_Medium_Run_0 & 0.50556 & 1 & 0 & 5,398 & 6,294 & 0.05\cr"
622460,633632,KBFC_alpha_0_5_gamma_1_0_Medium_Run_1,0.5176426,0.5176426,1,0,0,600212,5398,101851,6105,0.530731114,0.056550817,0.050001853,0,,,,,,,,,KBFC_alpha_0_5_gamma_1_0_Medium_Run_1,0.51764,1,0,"5,398","6,105",0.05,"KBFC_alpha_0_5_gamma_1_0_Medium_Run_1 & 0.51764 & 1 & 0 & 5,398 & 6,105 & 0.05\cr"
