p,Filename,Neg,Pos,$m$Prec,TN,FP,FN,TP,Prec,Rec,FP/P,$\hat{p}$
0.81,RUSBoost_5_Fold_Medium_Test_Transformed_95,21533,7071,0.2472031883652636,528961,76649,80207,27749,0.2658001111132397,0.2570399051465412,0.710002223127941,0.14630461653161725
0.18,RFC_5_Fold_Tomek_0_Hard_Test,20784,4901,0.19081175783531243,534803,70807,71810,36146,0.33796153450581096,0.3348215939827337,0.6558875838304494,0.14988522435205714
0.36,RFC_5_Fold_Tomek_0_Hard_Test_Transformed_100,3630,922,0.20254833040421794,535840,69770,72055,35901,0.33974316510679375,0.3325521508762829,0.6462818185186557,0.1480886140875546
0.39,RFC_5_Fold_Tomek_0_Hard_Test_Transformed_98,3026,787,0.2063991607658012,534239,71371,71656,36300,0.3371381337593224,0.33624810107821707,0.66111193449183,0.15089143821314357
0.41,RFC_5_Fold_Tomek_0_Hard_Test_Transformed_95,2716,686,0.20164609053497942,534582,71028,71744,36212,0.33767251025736666,0.3354329541665123,0.6579347141427989,0.15028742961407915
0.65,BRFC_5_Fold_alpha_0_5_Tomek_0_Hard_Test,5092,1971,0.2790598895653405,549109,56501,58507,49449,0.46672015101462955,0.4580477231464671,0.5233706324798992,0.14847960805307428
0.65,BRFC_5_Fold_alpha_0_5_Tomek_0_Hard_Test_Transformed_100,5092,1971,0.2790598895653405,549109,56501,58507,49449,0.46672015101462955,0.4580477231464671,0.5233706324798992,0.14847960805307428
0.66,BRFC_5_Fold_alpha_0_5_Tomek_0_Hard_Test_Transformed_98,5076,1962,0.27877237851662406,549218,56392,58552,49404,0.4669741767174562,0.45763088665752716,0.5223609618733558,0.14826379059540393
0.67,BRFC_5_Fold_alpha_0_5_Tomek_0_Hard_Test_Transformed_95,5017,1938,0.27864845434938895,549158,56452,58527,49429,0.4668354095635667,0.457862462484716,0.5229167438586091,0.14838291062074146
0.18,RFC_5_Fold_Tomek_0_Hard_Test,20782,5081,0.19645826083594323,535270,70340,72115,35841,0.3375462653393733,0.3319963688910297,0.6515617473785617,0.1488033342395798
0.36,RFC_5_Fold_Tomek_0_Hard_Test_Transformed_100,3667,953,0.20627705627705628,534506,71104,71896,36060,0.3364935985965436,0.33402497313720403,0.658638704657453,0.15018092229730676
0.65,BRFC_5_Fold_alpha_0_5_Tomek_0_Hard_Test,4974,1907,0.27713995058857727,548705,56905,58433,49523,0.4653192768820235,0.4587331875949461,0.5271128978472711,0.14914948301909003
0.65,BRFC_5_Fold_alpha_0_5_Tomek_0_Hard_Test_Transformed_100,4974,1907,0.27713995058857727,548705,56905,58433,49523,0.4653192768820235,0.4587331875949461,0.5271128978472711,0.14914948301909003
0.19,RFC_5_Fold_Tomek_1_Hard_Test,17859,4893,0.21505801687763712,538572,67038,73300,34656,0.34078706708360373,0.321019674682278,0.6209752121234577,0.142515198313821
