p,Filename,Neg,Pos,$m$Prec,TN,FP,FN,TP,Prec,Rec,FP/P,$\hat{p}$
0.6,KBFC_5_Fold_alpha_0_5_gamma_2_0_Hard_Test_Transformed_100,490,977,0.6659850034083163,603973,1637,103537,4419,0.7296895640686922,0.04093334321390196,0.015163585164326207,0.008486951452283321
0.9,KBFC_5_Fold_alpha_0_5_gamma_2_0_Hard_Test_Transformed_98,272,557,0.6718938480096501,603966,1644,103519,4437,0.7296497286630489,0.041100077809477935,0.015228426395939087,0.008521986753853182
0.96,KBFC_5_Fold_alpha_0_5_gamma_2_0_Hard_Test_Transformed_95,228,466,0.6714697406340058,604060,1550,103669,4287,0.7344526297755697,0.03971062284634481,0.014357701285708993,0.008180042210531332
0.99,BRFC_5_Fold_alpha_0_5_Medium_Test,118,244,0.6740331491712708,605541,69,107780,176,0.7183673469387755,0.0016302938234095373,0.000639149283041239,0.0003433459553846456
0.99,BRFC_5_Fold_alpha_0_5_Medium_Test_Transformed_100,118,244,0.6740331491712708,605541,69,107780,176,0.7183673469387755,0.0016302938234095373,0.000639149283041239,0.0003433459553846456
1.0,BRFC_5_Fold_alpha_0_5_Medium_Test_Transformed_98,641,1172,0.646442360728075,605610,0,107956,0,,0.0,0.0,0.0
1.0,BRFC_5_Fold_alpha_0_5_Medium_Test_Transformed_95,2233,3427,0.6054770318021201,605610,0,107956,0,,0.0,0.0,0.0
1.0,BRFC_5_Fold_alpha_balanced_Medium_Test,97,176,0.6446886446886447,605610,0,107956,0,,0.0,0.0,0.0
1.0,BRFC_5_Fold_alpha_balanced_Medium_Test_Transformed_100,97,176,0.6446886446886447,605610,0,107956,0,,0.0,0.0,0.0
1.0,BRFC_5_Fold_alpha_balanced_Medium_Test_Transformed_98,933,1271,0.5766787658802178,605610,0,107956,0,,0.0,0.0,0.0
1.0,BRFC_5_Fold_alpha_balanced_Medium_Test_Transformed_95,2848,3205,0.5294895093342145,605610,0,107956,0,,0.0,0.0,0.0
0.65,LogReg_5_Fold_alpha_0_5_Medium_Test,59,96,0.6193548387096774,605395,215,107664,292,0.5759368836291914,0.002704805661565823,0.001991552113824151,0.0007105159158367971
0.79,LogReg_5_Fold_alpha_0_5_Medium_Test_Transformed_100,46,74,0.6166666666666667,605422,188,107700,256,0.5765765765765766,0.0023713364704138723,0.0017414502204601875,0.0006222269558807455
1.0,LogReg_5_Fold_alpha_0_5_Medium_Test_Transformed_98,988,1212,0.5509090909090909,605610,0,107956,0,,0.0,0.0,0.0
0.99,LogReg_5_Fold_alpha_0_5_Medium_Test_Transformed_95,194,222,0.5336538461538461,602917,2693,105050,2906,0.5190212537953206,0.02691837415243247,0.02494534810478343,0.007846506139586247
0.92,LogReg_5_Fold_alpha_balanced_Medium_Test,196,270,0.5793991416309013,605435,175,107740,216,0.5524296675191815,0.0020008151469117046,0.001621030790321983,0.0005479521165526384
0.97,LogReg_5_Fold_alpha_balanced_Medium_Test_Transformed_100,52,73,0.584,605580,30,107914,42,0.5833333333333334,0.0003890473896772759,0.0002778909926266257,0.00010090166852120197
1.0,LogReg_5_Fold_alpha_balanced_Medium_Test_Transformed_98,1358,1529,0.5296155178385867,605610,0,107956,0,,0.0,0.0,0.0
1.0,LogReg_5_Fold_alpha_balanced_Medium_Test_Transformed_95,3173,3298,0.5096584762787822,605610,0,107956,0,,0.0,0.0,0.0
0.51,AdaBoost_5_Fold_Medium_Test,4637,4716,0.5042232438789693,605610,0,107956,0,,0.0,0.0,0.0
0.86,AdaBoost_5_Fold_Medium_Test_Transformed_100,88,124,0.5849056603773585,605419,191,107707,249,0.5659090909090909,0.002306495238800993,0.0017692393197228501,0.0006166213076295676
1.0,AdaBoost_5_Fold_Medium_Test_Transformed_98,1092,1288,0.5411764705882353,605610,0,107956,0,,0.0,0.0,0.0
1.0,AdaBoost_5_Fold_Medium_Test_Transformed_95,2879,3055,0.514829794405123,605610,0,107956,0,,0.0,0.0,0.0
1.0,BalBag_5_Fold_Medium_Test,4247,4519,0.5155144877937485,605610,0,107956,0,,0.0,0.0,0.0
1.0,BalBag_5_Fold_Medium_Test_Transformed_100,4247,4519,0.5155144877937485,605610,0,107956,0,,0.0,0.0,0.0
1.0,BalBag_5_Fold_Medium_Test_Transformed_98,4247,4519,0.5155144877937485,605610,0,107956,0,,0.0,0.0,0.0
1.0,BalBag_5_Fold_Medium_Test_Transformed_95,4247,4519,0.5155144877937485,605610,0,107956,0,,0.0,0.0,0.0
0.56,EEC_5_Fold_Medium_Test,1068,1079,0.5025617140195622,605591,19,107936,20,0.5128205128205128,0.00018526066175108378,0.00017599762866352957,5.46550704489844e-05
0.85,EEC_5_Fold_Medium_Test_Transformed_100,22,37,0.6271186440677966,605361,249,107653,303,0.5489130434782609,0.002806699025528919,0.002306495238800993,0.0007735794586625484
0.99,EEC_5_Fold_Medium_Test_Transformed_98,339,354,0.5108225108225108,604307,1303,106650,1306,0.5005749329244922,0.012097521212345771,0.012069732113083109,0.0036562840718307767
0.97,EEC_5_Fold_Medium_Test_Transformed_95,704,634,0.47384155455904337,598814,6796,102170,5786,0.459863296773168,0.05359590944458854,0.06295157286301827,0.017632566574080043
0.51,RUSBoost_5_Fold_Medium_Test,201115,58726,0.2260074430132273,605605,5,107955,1,0.16666666666666666,9.263033087554189e-06,4.6315165437770945e-05,8.40847237676683e-06
0.64,RUSBoost_5_Fold_Medium_Test_Transformed_100,46,29,0.38666666666666666,605459,151,107907,49,0.245,0.00045388862129015523,0.0013987179962206824,0.00028028241255889435
0.77,RUSBoost_5_Fold_Medium_Test_Transformed_98,8542,4028,0.32044550517104214,564557,41053,95283,12673,0.23588206827234487,0.11739041831857423,0.38027529734336213,0.07529226448569579
0.84,RUSBoost_5_Fold_Medium_Test_Transformed_95,8075,3698,0.31410855346980376,561388,44222,93772,14184,0.24285176180529397,0.13138686131386862,0.40962984919782136,0.08185087293957391
0.29,RFC_5_Fold_Tomek_0_Hard_Test,543,1033,0.6554568527918782,605321,289,107134,822,0.7398739873987399,0.007614213197969543,0.0026770165623031606,0.001556968801764658
0.93,RFC_5_Fold_Tomek_0_Hard_Test_Transformed_100,45,90,0.6666666666666666,605540,70,107702,254,0.7839506172839507,0.002352810404238764,0.0006484123161287932,0.00045405750834540885
0.99,RFC_5_Fold_Tomek_0_Hard_Test_Transformed_98,112,243,0.6845070422535211,605092,518,106671,1285,0.7127010537992235,0.011902997517507133,0.00479825113935307,0.0025267459492184325
1.0,RFC_5_Fold_Tomek_0_Hard_Test_Transformed_95,1731,2930,0.6286204677107917,605610,0,107956,0,,0.0,0.0,0.0
0.89,BRFC_5_Fold_alpha_0_5_Tomek_0_Hard_Test,699,1393,0.6658699808795411,602685,2925,99689,8267,0.7386526090064331,0.07657749453481048,0.027094371781096003,0.015684603806795726
0.89,BRFC_5_Fold_alpha_0_5_Tomek_0_Hard_Test_Transformed_100,699,1393,0.6658699808795411,602685,2925,99689,8267,0.7386526090064331,0.07657749453481048,0.027094371781096003,0.015684603806795726
0.92,BRFC_5_Fold_alpha_0_5_Tomek_0_Hard_Test_Transformed_98,687,1385,0.6684362934362934,602702,2908,99748,8208,0.7383951061532925,0.07603097558264478,0.02693690021860758,0.015578096490023348
0.95,BRFC_5_Fold_alpha_0_5_Tomek_0_Hard_Test_Transformed_95,673,1367,0.6700980392156862,602702,2908,99751,8205,0.7383244848375776,0.07600318648338211,0.02693690021860758,0.015573892253834964
0.29,RFC_5_Fold_Tomek_0_Hard_Test,567,994,0.6367713004484304,605315,295,107117,839,0.7398589065255732,0.007771684760457964,0.002732594760828486,0.0015892012792089309
0.88,RFC_5_Fold_Tomek_0_Hard_Test_Transformed_100,93,185,0.6654676258992805,605222,388,106932,1024,0.7252124645892352,0.009485345881655489,0.003594056837971025,0.001978793832665794
0.88,BRFC_5_Fold_alpha_0_5_Tomek_0_Hard_Test,727,1419,0.6612301957129544,601994,3616,98397,9559,0.7255407969639469,0.0885453332839305,0.033495127644595946,0.018463603927317166
0.88,BRFC_5_Fold_alpha_0_5_Tomek_0_Hard_Test_Transformed_100,727,1419,0.6612301957129544,601994,3616,98397,9559,0.7255407969639469,0.0885453332839305,0.033495127644595946,0.018463603927317166
0.31,RFC_5_Fold_Tomek_1_Hard_Test,335,718,0.6818613485280152,605438,172,107457,499,0.7436661698956781,0.00462225351068954,0.0015932416910593205,0.0009403474941350905
0.89,RFC_5_Fold_Tomek_1_Hard_Test_Transformed_100,76,152,0.6666666666666666,605311,299,107124,832,0.735632183908046,0.0077068435288450855,0.0027696468931787026,0.0015849970430205475
0.29,RFC_5_Fold_Tomek_0_Hard_Test,555,999,0.6428571428571429,605313,297,107127,829,0.7362344582593251,0.007679054429582423,0.002751120827003594,0.001577989982706575
0.86,RFC_5_Fold_Tomek_0_Hard_Test_Transformed_100,144,282,0.6619718309859155,605097,513,106739,1217,0.7034682080924856,0.011273111267553447,0.004751935973915299,0.0024244428686344363
0.9,BRFC_5_Fold_alpha_0_5_Tomek_0_Hard_Test,625,1293,0.6741397288842544,603210,2400,100958,6998,0.7446265162800596,0.06482270554670422,0.022231279410130055,0.013170470566142446
0.9,BRFC_5_Fold_alpha_0_5_Tomek_0_Hard_Test_Transformed_100,625,1293,0.6741397288842544,603210,2400,100958,6998,0.7446265162800596,0.06482270554670422,0.022231279410130055,0.013170470566142446
0.31,RFC_5_Fold_Tomek_1_Hard_Test,357,692,0.6596758817921831,605395,215,107333,623,0.7434367541766109,0.0057708696135462595,0.001991552113824151,0.0011743833086217672
0.88,RFC_5_Fold_Tomek_1_Hard_Test_Transformed_100,78,154,0.6637931034482759,605277,333,107084,872,0.7236514522821577,0.008077364852347252,0.0030845900181555447,0.0016887015356673383
0.9,BRFC_5_Fold_alpha_0_5_Tomek_1_Hard_Test,695,1410,0.669833729216152,602410,3200,99417,8539,0.7274043785671692,0.07909703953462521,0.029641705880173404,0.016451176205144302
0.9,BRFC_5_Fold_alpha_0_5_Tomek_1_Hard_Test_Transformed_100,695,1410,0.669833729216152,602410,3200,99417,8539,0.7274043785671692,0.07909703953462521,0.029641705880173404,0.016451176205144302
1.0,BalBag_5_Fold_Tomek_0_Hard_Test,3316,6609,0.6658942065491184,605610,0,107956,0,,0.0,0.0,0.0
1.0,BalBag_5_Fold_Tomek_0_Hard_Test_Transformed_100,3316,6609,0.6658942065491184,605610,0,107956,0,,0.0,0.0,0.0
1.0,BalBag_5_Fold_Tomek_1_Hard_Test,4166,7937,0.655787821201355,605610,0,107956,0,,0.0,0.0,0.0
1.0,BalBag_5_Fold_Tomek_1_Hard_Test_Transformed_100,4166,7937,0.655787821201355,605610,0,107956,0,,0.0,0.0,0.0
1.0,BalBag_5_Fold_Tomek_0_Hard_Test,3327,6544,0.6629520818559417,605610,0,107956,0,,0.0,0.0,0.0
1.0,BalBag_5_Fold_Tomek_0_Hard_Test_Transformed_100,3327,6544,0.6629520818559417,605610,0,107956,0,,0.0,0.0,0.0
0.9,BRFC_5_Fold_alpha_0_5_Tomek_1_Hard_Test,689,1391,0.66875,602341,3269,99442,8514,0.7225664092336417,0.07886546370743636,0.030280855163214642,0.01651283833590726
0.9,BRFC_5_Fold_alpha_0_5_Tomek_1_Hard_Test_Transformed_100,689,1391,0.66875,602341,3269,99442,8514,0.7225664092336417,0.07886546370743636,0.030280855163214642,0.01651283833590726
1.0,BalBag_5_Fold_Tomek_1_Hard_Test,4135,7888,0.6560758546119937,605610,0,107956,0,,0.0,0.0,0.0
1.0,BalBag_5_Fold_Tomek_1_Hard_Test_Transformed_100,4135,7888,0.6560758546119937,605610,0,107956,0,,0.0,0.0,0.0
