Index,len,Filename,min,max,Neg,Pos,$\frac{\text{Pos}}{\text{Neg}+\text{Pos}}$,TN,FP,FN,TP,Prec,Rec,FP/P,Algorithm,Features,p,Neg,Pos,$m$Prob,Recall,Algorithm & Features & p & Neg & Pos & $m$Prob & Recall,Algorithm & Features & p & Neg & Pos & $m$Prob & Recall\cr
101,107,LogReg_alpha_balanced_Hard_Run_0,0.878324342,0.886548499,1000,1005,0.501246883,600602,5008,101564,6392,0.560701754,0.059209307,0.04638927,,,,,,,,,
87,92,BRFC_alpha_0_5_Medium_Run_1,0.8925,0.901452381,1017,1033,0.503902439,601381,4229,102397,5559,0.567940335,0.051493201,0.039173367,,,,,,,,,
102,107,AdaBoost_Hard_Run_1,0.500697634,0.500938571,1020,1000,0.495049505,601610,4000,102499,5457,0.577032886,0.050548372,0.037052132,,,,,,,,,
85,91,EEC_Medium_Run_0,0.541002486,0.542061078,1113,1109,0.49909991,599399,6211,102696,5260,0.458547642,0.048723554,0.057532699,,,,,,,,,
102,107,KBFC_alpha_0_5_gamma_0_0_Medium_Run_0,0.5178414,0.53532666,1025,1000,0.49382716,601610,4000,103001,4955,0.553322166,0.045898329,0.037052132,,,,,,,,,
103,108,KBFC_alpha_0_5_gamma_0_0_Medium_Run_1,0.526941,0.5449412,1019,1000,0.4952947,601610,4000,103079,4877,0.549397319,0.045175812,0.037052132,,,,,,,,,
104,108,KBFC_alpha_0_5_gamma_1_0_Medium_Run_0,0.5192596,0.53147507,1000,1016,0.503968254,602610,3000,104021,3935,0.56741168,0.036450035,0.027789099,,,,,,,,,
104,108,KBFC_alpha_balanced_gamma_0_0_Medium_Run_0,0.8681037,0.87748665,1000,1035,0.508599509,602610,3000,104115,3841,0.561467622,0.03557931,0.027789099,,,,,,,,,
104,108,KBFC_alpha_0_5_gamma_1_0_Medium_Run_1,0.5309393,0.54357564,1000,1017,0.504214179,602610,3000,104132,3824,0.560375147,0.035421839,0.027789099,,,,,,,,,
104,108,KBFC_alpha_0_5_gamma_2_0_Medium_Run_0,0.5199206,0.52795017,1000,1000,0.5,602610,3000,104147,3809,0.559406668,0.035282893,0.027789099,,,,,,,,,
104,108,KBFC_alpha_balanced_gamma_0_0_Medium_Run_1,0.8630333,0.87297696,1000,1026,0.506416584,602609,3001,104318,3638,0.547974092,0.033698914,0.027798362,,,,,,,,,
104,108,RFC_Easy_Run_1,0.20758663,0.212742043,1963,1000,0.337495781,599189,6421,104949,3007,0.318943572,0.02785394,0.059477935,,,,,,,,,
92,95,BRFC_alpha_balanced_Medium_Run_1,0.926974183,0.939977856,1005,1001,0.499002991,603269,2341,104978,2978,0.559879677,0.027585313,0.02168476,,,,,,,,,
105,108,KBFC_alpha_0_5_gamma_2_0_Medium_Run_1,0.52665615,0.5371114,1000,1047,0.511480215,603610,2000,105302,2654,0.57026214,0.02458409,0.018526066,,,,,,,,,
105,108,LogReg_alpha_0_5_Medium_Run_0,0.525999492,0.553033559,1000,1011,0.502734958,603597,2013,105731,2225,0.525011798,0.020610249,0.018646486,,,,,,,,,
105,108,AdaBoost_Medium_Run_0,0.500300725,0.500569776,1000,1003,0.500748877,603593,2017,105762,2194,0.521016386,0.020323095,0.018683538,,,,,,,,,
105,107,RFC_Hard_Run_1,0.273031781,0.283110254,1000,1042,0.510284035,604610,1000,105779,2177,0.685237646,0.020165623,0.009263033,,,,,,,,,
105,108,LogReg_alpha_balanced_Medium_Run_0,0.866887585,0.879300078,1000,1000,0.5,603597,2013,105794,2162,0.517844311,0.020026678,0.018646486,,,,,,,,,
103,106,RFC_Easy_Run_0,0.208257745,0.210960862,1998,1000,0.333555704,601170,4440,105857,2099,0.320997094,0.019443106,0.041127867,,,,,,,,,
105,107,RFC_Hard_Run_0,0.269732004,0.277631871,1000,1100,0.523809524,604610,1000,105890,2066,0.67384214,0.019137426,0.009263033,,,,,,,,,
95,97,BRFC_alpha_balanced_Medium_Run_0,0.94,0.959978943,1303,1314,0.502101643,604494,1116,106277,1679,0.600715564,0.015552633,0.010337545,,,,,,,,,
91,93,EEC_Hard_Run_0,0.558851483,0.5668315,1007,1006,0.499751615,604524,1086,106398,1558,0.589258699,0.014431806,0.010059654,,,,,,,,,
106,108,LogReg_alpha_0_5_Medium_Run_1,0.552682719,0.589216277,1021,1000,0.494804552,604609,1001,106730,1226,0.55051639,0.011356479,0.009272296,,,,,,,,,
106,108,AdaBoost_Medium_Run_1,0.500579566,0.500954712,1000,1013,0.503229011,604610,1000,106791,1165,0.538106236,0.010791434,0.009263033,,,,,,,,,
106,108,LogReg_alpha_balanced_Medium_Run_1,0.879511683,0.894835207,1000,1006,0.501495513,604610,1000,106798,1158,0.53660797,0.010726592,0.009263033,,,,,,,,,
106,108,KBFC_alpha_0_5_gamma_0_0_Easy_Run_0,0.38583803,0.41400957,1704,1001,0.370055453,603904,1706,106956,1000,0.36954915,0.009263033,0.015802734,,,,,,,,,
106,108,KBFC_alpha_0_5_gamma_1_0_Easy_Run_1,0.42983744,0.44474432,1662,1003,0.376360225,603922,1688,106956,1000,0.37202381,0.009263033,0.015636,,,,,,,,,
107,108,AdaBoost_Easy_Run_0,0.498900645,0.499755222,1768,1001,0.361502347,605610,0,107956,0,,0,0,,,,,,,,,
107,108,AdaBoost_Easy_Run_1,0.498900168,0.499744855,1758,1001,0.362812613,605610,0,107956,0,,0,0,,,,,,,,,
23,24,BalBag_Medium_Run_0,1,1,4232,4537,0.517390809,605610,0,107956,0,,0,0,,,,,,,,,
23,24,BalBag_Medium_Run_1,1,1,4311,4510,0.5112799,605610,0,107956,0,,0,0,,,,,,,,,
104,105,BalBag_Easy_Run_0,0.98,1,1154,1046,0.475454545,605610,0,107956,0,,0,0,,,,,,,,,
104,105,BalBag_Easy_Run_1,0.98,1,1104,1041,0.485314685,605610,0,107956,0,,0,0,,,,,,,,,
107,108,BRFC_alpha_0_5_Easy_Run_0,0.953888889,1,1001,1083,0.519673704,605610,0,107956,0,,0,0,,,,,,,,,
107,108,BRFC_alpha_0_5_Easy_Run_1,0.953514846,1,1000,1160,0.537037037,605610,0,107956,0,,0,0,,,,,,,,,
107,108,BRFC_alpha_balanced_Easy_Run_0,0.985425427,1,1001,1019,0.504455446,605610,0,107956,0,,0,0,,,,,,,,,
107,108,BRFC_alpha_balanced_Easy_Run_1,0.984403157,1,1002,1089,0.520803443,605610,0,107956,0,,0,0,,,,,,,,,
94,95,EEC_Medium_Run_1,0.550119356,0.569504685,1013,1066,0.512746513,605610,0,107956,0,,0,0,,,,,,,,,
94,95,EEC_Easy_Run_0,0.531760096,0.533574272,2139,1203,0.359964093,605610,0,107956,0,,0,0,,,,,,,,,
92,93,EEC_Easy_Run_1,0.531964017,0.533502808,1744,1000,0.364431487,605610,0,107956,0,,0,0,,,,,,,,,
107,108,KBFC_alpha_0_5_gamma_0_0_Easy_Run_1,0.40918696,0.83587784,1561,1001,0.390710383,605610,0,107956,0,,0,0,,,,,,,,,
107,108,KBFC_alpha_balanced_gamma_0_0_Easy_Run_0,0.7924876,0.89868027,1668,1004,0.375748503,605610,0,107956,0,,0,0,,,,,,,,,
107,108,KBFC_alpha_balanced_gamma_0_0_Easy_Run_1,0.7870065,0.88202536,1605,1000,0.383877159,605610,0,107956,0,,0,0,,,,,,,,,
107,108,KBFC_alpha_0_5_gamma_1_0_Easy_Run_0,0.4530872,0.67790514,1637,1000,0.379218809,605610,0,107956,0,,0,0,,,,,,,,,
107,108,KBFC_alpha_0_5_gamma_2_0_Easy_Run_0,0.4704953,0.5623818,1505,1000,0.399201597,605610,0,107956,0,,0,0,,,,,,,,,
107,108,KBFC_alpha_0_5_gamma_2_0_Easy_Run_1,0.46711978,0.6267924,1588,1001,0.386635767,605610,0,107956,0,,0,0,,,,,,,,,
107,108,LogReg_alpha_0_5_Easy_Run_0,0.38696914,0.476305423,1704,1000,0.369822485,605610,0,107956,0,,0,0,,,,,,,,,
107,108,LogReg_alpha_0_5_Easy_Run_1,0.387323549,0.477905914,1735,1000,0.365630713,605610,0,107956,0,,0,0,,,,,,,,,
107,108,LogReg_alpha_balanced_Easy_Run_0,0.784998025,0.838027172,1760,1000,0.362318841,605610,0,107956,0,,0,0,,,,,,,,,
107,108,LogReg_alpha_balanced_Easy_Run_1,0.785311065,0.836938874,1745,1000,0.364298725,605610,0,107956,0,,0,0,,,,,,,,,
107,108,RFC_Medium_Run_0,0.255745189,0.275007232,1023,1000,0.494315373,605610,0,107956,0,,0,0,,,,,,,,,
107,108,RFC_Medium_Run_1,0.259561431,0.284722846,1070,1000,0.483091787,605610,0,107956,0,,0,0,,,,,,,,,
107,108,RUSBoost_Medium_Run_1,0.506214439,0.532329444,2387,1000,0.295246531,605610,0,107956,0,,0,0,,,,,,,,,
107,108,RUSBoost_Easy_Run_0,0.512599285,0.623614977,2564,1000,0.280583614,605610,0,107956,0,,0,0,,,,,,,,,
107,108,RUSBoost_Easy_Run_1,0.515539818,0.546261217,2825,1000,0.261437908,605610,0,107956,0,,0,0,,,,,,,,,
