p,Filename,Neg,Pos,$m$Prob,TN,FP,FN,TP,Prec,Rec,$\frac{\text{FP}}{\text{P}}$
0.78,KBFC_5_Fold_alpha_0_5_gamma_0_0_Medium_Test_Transformed_98,385,351,0.47690217391304346,600216,5394,101797,6159,0.533108283562711,0.05705102078624625,0.049964800474267296
0.87,KBFC_5_Fold_alpha_0_5_gamma_0_0_Medium_Test_Transformed_95,336,294,0.4666666666666667,600304,5306,101889,6067,0.5334564319001143,0.05619882174219126,0.049149653562562526
0.97,KBFC_5_Fold_alpha_0_5_gamma_0_0_Medium_Test_Transformed_90,314,288,0.47840531561461797,600145,5465,101734,6222,0.5323864122529306,0.05763459187076216,0.05062247582348364
1.0,KBFC_5_Fold_alpha_0_5_gamma_0_0_Medium_Test_Transformed_80,11402,11173,0.4949280177187154,605610,0,107956,0,,0.0,0.0
0.85,KBFC_5_Fold_alpha_balanced_gamma_0_0_Medium_Test,1494,1282,0.4618155619596542,599702,5908,101445,6511,0.5242773170142524,0.06031160843306532,0.054725999481270146
0.87,KBFC_5_Fold_alpha_balanced_gamma_0_0_Medium_Test_Transformed_100,1412,1246,0.4687735139202408,599918,5692,101645,6311,0.5257852203615763,0.05845900181555449,0.052725184334358445
0.93,KBFC_5_Fold_alpha_balanced_gamma_0_0_Medium_Test_Transformed_98,1183,1035,0.4666366095581605,599748,5862,101481,6475,0.5248439653076112,0.05997813924191337,0.054299899959242656
0.96,KBFC_5_Fold_alpha_balanced_gamma_0_0_Medium_Test_Transformed_95,1092,968,0.46990291262135925,600280,5330,101957,5999,0.5295259952334717,0.05556893549223758,0.04937196635666383
0.99,KBFC_5_Fold_alpha_balanced_gamma_0_0_Medium_Test_Transformed_90,995,912,0.47823807026743576,599985,5625,101713,6243,0.526036400404449,0.0578291155656008,0.052104561117492315
1.0,KBFC_5_Fold_alpha_balanced_gamma_0_0_Medium_Test_Transformed_80,12572,11777,0.4836748942461703,605610,0,107956,0,,0.0,0.0
0.51,KBFC_5_Fold_alpha_0_5_gamma_1_0_Medium_Test,1180,1124,0.4878472222222222,600173,5437,101776,6180,0.5319789962985281,0.05724554448108489,0.050363110897032125
0.64,KBFC_5_Fold_alpha_0_5_gamma_1_0_Medium_Test_Transformed_100,933,891,0.48848684210526316,599838,5772,101470,6486,0.5291238374938816,0.060080032605876466,0.053466226981362774
0.83,KBFC_5_Fold_alpha_0_5_gamma_1_0_Medium_Test_Transformed_98,552,548,0.49818181818181817,600103,5507,101696,6260,0.5319962607291578,0.05798658712808922,0.051011523213160916
0.9,KBFC_5_Fold_alpha_0_5_gamma_1_0_Medium_Test_Transformed_95,480,469,0.49420442571127504,600158,5452,101752,6204,0.532258064516129,0.057467857275186184,0.050502056393345436
0.98,KBFC_5_Fold_alpha_0_5_gamma_1_0_Medium_Test_Transformed_90,448,399,0.47107438016528924,600250,5360,101834,6122,0.533182372408988,0.05670828856200674,0.04964985734929045
1.0,KBFC_5_Fold_alpha_0_5_gamma_1_0_Medium_Test_Transformed_80,11661,11247,0.49096385542168675,605610,0,107956,0,,0.0,0.0
0.51,KBFC_5_Fold_alpha_0_5_gamma_2_0_Medium_Test,1921,1674,0.4656467315716273,600348,5262,101947,6009,0.5331381421346819,0.05566156582311312,0.04874208010671014
0.69,KBFC_5_Fold_alpha_0_5_gamma_2_0_Medium_Test_Transformed_100,1328,1134,0.4606011372867587,599702,5908,101361,6595,0.5274734063824682,0.061089703212419875,0.054725999481270146
0.86,KBFC_5_Fold_alpha_0_5_gamma_2_0_Medium_Test_Transformed_98,775,646,0.4546094299788881,599936,5674,101561,6395,0.5298699146573866,0.059237096594909035,0.052558449738782466
0.92,KBFC_5_Fold_alpha_0_5_gamma_2_0_Medium_Test_Transformed_95,627,548,0.46638297872340423,600270,5340,101862,6094,0.532971838376771,0.056448923635555225,0.049464596687539365
0.98,KBFC_5_Fold_alpha_0_5_gamma_2_0_Medium_Test_Transformed_90,588,489,0.45403899721448465,600004,5606,101618,6338,0.5306430006697924,0.05870910370891845,0.05192856348882878
1.0,KBFC_5_Fold_alpha_0_5_gamma_2_0_Medium_Test_Transformed_80,12016,11395,0.4867370039724916,605610,0,107956,0,,0.0,0.0
0.21,RFC_5_Fold_Easy_Test,16725,6777,0.28835843757978047,600718,4892,105649,2307,0.3204611751632171,0.021369817332987512,0.04531475786431509
0.89,RFC_5_Fold_Easy_Test_Transformed_100,938,452,0.3251798561151079,600118,5492,105356,2600,0.3213049925852694,0.024083886027640892,0.050872577716847604
0.95,RFC_5_Fold_Easy_Test_Transformed_98,834,419,0.3343974461292897,600272,5338,105429,2527,0.3212968849332486,0.023407684612249433,0.04944607062136426
0.99,RFC_5_Fold_Easy_Test_Transformed_95,563,244,0.3023543990086741,599049,6561,104862,3094,0.3204557224236147,0.02865982437289266,0.06077476008744303
1.0,RFC_5_Fold_Easy_Test_Transformed_90,14078,6292,0.30888561610211096,605610,0,107956,0,,0.0,0.0
1.0,RFC_5_Fold_Easy_Test_Transformed_80,29761,12132,0.28959492039242835,605610,0,107956,0,,0.0,0.0
