Index,Filename,Roll,Min/Max,Min,Max,Diff,y_proba,Prec,TN,FP,FN,TP,FP/P,Hard,Medium,Easy,Features
637976,AdaBoost_Medium_Run_1,Prec_10,Min,0.502491457,0.502506761,1.53E-05,0.502491457,0.659701493,605599,11,107934,22,0.000101893,0,1,0,2
637977,AdaBoost_Medium_Run_1,Prec_10,Max,0.502491457,0.502506761,1.53E-05,0.502506761,0.667692308,605600,10,107934,22,9.26E-05,0,1,0,2
637977,AdaBoost_Medium_Run_1,Prec_20,Max,0.502488644,0.502506761,1.81E-05,0.502506761,0.675384615,605600,10,107934,22,9.26E-05,0,1,0,2
637984,AdaBoost_Medium_Run_1,Prec_50,Max,0.502488614,0.502564356,7.57E-05,0.502564356,0.675590551,605604,6,107937,19,5.56E-05,0,1,0,2
638005,AdaBoost_Medium_Run_1,Prec_1,Max,0.502488644,0.502949063,0.000460419,0.502949063,0.666666667,605609,1,107954,2,9.26E-06,0,1,0,2
1294,AdaBoost_Medium_Run_1_Round_5,Prec_20,Min,0.50247,0.50252,5.00E-05,0.50247,0.65974026,605596,14,107933,23,0.000129682,0,1,0,2
1295,AdaBoost_Medium_Run_1_Round_5,Prec_1,Min,0.50249,0.50295,0.00046,0.50249,0.666666667,605599,11,107934,22,0.000101893,0,1,0,2
1295,AdaBoost_Medium_Run_1_Round_5,Prec_10,Min,0.50249,0.50251,2.00E-05,0.50249,0.664788732,605599,11,107934,22,0.000101893,0,1,0,2
1296,AdaBoost_Medium_Run_1_Round_5,Prec_10,Max,0.50249,0.50251,2.00E-05,0.50251,0.674698795,605601,9,107935,21,8.34E-05,0,1,0,2
1297,AdaBoost_Medium_Run_1_Round_5,Prec_20,Max,0.50247,0.50252,5.00E-05,0.50252,0.676470588,605601,9,107936,20,8.34E-05,0,1,0,2
1316,AdaBoost_Medium_Run_1_Round_5,Prec_1,Max,0.50249,0.50295,0.00046,0.50295,0.666666667,605609,1,107954,2,9.26E-06,0,1,0,2
226,BalBag_Hard_Run_1,Prec_1,Min,0.9,0.9875,0.0875,0.9,0.666211204,602190,3420,101130,6826,0.031679573,1,0,0,3
231,BalBag_Hard_Run_1,Prec_10,Min,0.926666667,0.983333333,0.056666667,0.926666667,0.66653307,602200,3410,101137,6819,0.031586943,1,0,0,3
236,BalBag_Hard_Run_1,Prec_20,Min,0.941666667,0.963333333,0.021666667,0.941666667,0.667197304,602209,3401,101148,6808,0.031503576,1,0,0,3
242,BalBag_Hard_Run_1,Prec_20,Max,0.941666667,0.963333333,0.021666667,0.963333333,0.667722013,602253,3357,101201,6755,0.031096002,1,0,0,3
247,BalBag_Hard_Run_1,Prec_10,Max,0.926666667,0.983333333,0.056666667,0.983333333,0.668200985,602276,3334,101239,6717,0.030882952,1,0,0,3
250,BalBag_Hard_Run_1,Prec_1,Max,0.9,0.9875,0.0875,0.9875,0.66822616,602277,3333,101243,6713,0.030873689,1,0,0,3
189,BalBag_Hard_Run_1_Round_4,Prec_1,Min,0.9,0.9875,0.0875,0.9,0.666211204,602190,3420,101130,6826,0.031679573,1,0,0,3
194,BalBag_Hard_Run_1_Round_4,Prec_10,Min,0.9333,0.98,0.0467,0.9333,0.66661451,602204,3406,101142,6814,0.031549891,1,0,0,3
198,BalBag_Hard_Run_1_Round_4,Prec_20,Min,0.9467,0.96,0.0133,0.9467,0.657096851,602211,3399,101148,6808,0.031485049,1,0,0,3
201,BalBag_Hard_Run_1_Round_4,Prec_20,Max,0.9467,0.96,0.0133,0.96,0.667545489,602253,3357,101199,6757,0.031096002,1,0,0,3
206,BalBag_Hard_Run_1_Round_4,Prec_10,Max,0.9333,0.98,0.0467,0.98,0.668170238,602275,3335,101238,6718,0.030892215,1,0,0,3
209,BalBag_Hard_Run_1_Round_4,Prec_1,Max,0.9,0.9875,0.0875,0.9875,0.66822616,602277,3333,101243,6713,0.030873689,1,0,0,3
3298,BRFC_alpha_0_5_Hard_Run_0,Prec_1,Min,0.81,0.82975,0.01975,0.81,0.65718318,594922,10688,87467,20489,0.099003298,1,0,0,3
3303,BRFC_alpha_0_5_Hard_Run_0,Prec_10,Min,0.811666667,0.830666667,0.019,0.811666667,0.657268544,594930,10680,87471,20485,0.098929193,1,0,0,3
3308,BRFC_alpha_0_5_Hard_Run_0,Prec_20,Min,0.8125,0.831666667,0.019166667,0.8125,0.657340569,594936,10674,87486,20470,0.098873615,1,0,0,3
3320,BRFC_alpha_0_5_Hard_Run_0,Prec_50,Min,0.815333333,0.834333333,0.019,0.815333333,0.657091157,594986,10624,87542,20414,0.098410464,1,0,0,3
3322,BRFC_alpha_0_5_Hard_Run_0,Prec_100,Min,0.815833333,0.835666667,0.019833333,0.815833333,0.657038842,594987,10623,87545,20411,0.0984012,1,0,0,3
3330,BRFC_alpha_0_5_Hard_Run_0,Prec_200,Min,0.817333333,0.836666667,0.019333333,0.817333333,0.65709627,595006,10604,87573,20383,0.098225203,1,0,0,3
3369,BRFC_alpha_0_5_Hard_Run_0,Prec_500,Min,0.825,0.846071429,0.021071429,0.825,0.657072667,596292,9318,89201,18755,0.086312942,1,0,0,3
3394,BRFC_alpha_0_5_Hard_Run_0,Prec_1,Max,0.81,0.82975,0.01975,0.82975,0.668119151,596318,9292,89250,18706,0.086072103,1,0,0,3
3399,BRFC_alpha_0_5_Hard_Run_0,Prec_10,Max,0.811666667,0.830666667,0.019,0.830666667,0.67647714,597444,8166,90801,17155,0.075641928,1,0,0,3
3403,BRFC_alpha_0_5_Hard_Run_0,Prec_20,Max,0.8125,0.831666667,0.019166667,0.831666667,0.676568392,597447,8163,90805,17151,0.075614139,1,0,0,3
3416,BRFC_alpha_0_5_Hard_Run_0,Prec_50,Max,0.815333333,0.834333333,0.019,0.834333333,0.676946648,597472,8138,90829,17127,0.075382563,1,0,0,3
3419,BRFC_alpha_0_5_Hard_Run_0,Prec_100,Max,0.815833333,0.835666667,0.019833333,0.835666667,0.676975145,597500,8110,90880,17076,0.075123198,1,0,0,3
3424,BRFC_alpha_0_5_Hard_Run_0,Prec_200,Max,0.817333333,0.836666667,0.019333333,0.836666667,0.676969901,597508,8102,90898,17058,0.075049094,1,0,0,3
3470,BRFC_alpha_0_5_Hard_Run_0,Prec_500,Max,0.825,0.846071429,0.021071429,0.846071429,0.676920477,598572,7038,92542,15414,0.065193227,1,0,0,3
2710,BRFC_alpha_0_5_Hard_Run_0_Round_4,Prec_1,Min,0.81,0.8298,0.0198,0.81,0.65718318,594922,10688,87467,20489,0.099003298,1,0,0,3
2715,BRFC_alpha_0_5_Hard_Run_0_Round_4,Prec_10,Min,0.812,0.8307,0.0187,0.812,0.657274434,594932,10678,87474,20482,0.098910667,1,0,0,3
2720,BRFC_alpha_0_5_Hard_Run_0_Round_4,Prec_20,Min,0.8133,0.832,0.0187,0.8133,0.657423118,594953,10657,87502,20454,0.098716144,1,0,0,3
2727,BRFC_alpha_0_5_Hard_Run_0_Round_4,Prec_50,Min,0.8153,0.8343,0.019,0.8153,0.657146368,594986,10624,87542,20414,0.098410464,1,0,0,3
2729,BRFC_alpha_0_5_Hard_Run_0_Round_4,Prec_100,Min,0.8158,0.8355,0.0197,0.8158,0.65701822,594988,10622,87545,20411,0.098391937,1,0,0,3
2739,BRFC_alpha_0_5_Hard_Run_0_Round_4,Prec_200,Min,0.8186,0.8367,0.0181,0.8186,0.657101818,595020,10590,87583,20373,0.09809552,1,0,0,3
2783,BRFC_alpha_0_5_Hard_Run_0_Round_4,Prec_1,Max,0.81,0.8298,0.0198,0.8298,0.668119151,596318,9292,89250,18706,0.086072103,1,0,0,3
2788,BRFC_alpha_0_5_Hard_Run_0_Round_4,Prec_10,Max,0.812,0.8307,0.0187,0.8307,0.676493348,597444,8166,90801,17155,0.075641928,1,0,0,3
2792,BRFC_alpha_0_5_Hard_Run_0_Round_4,Prec_20,Max,0.8133,0.832,0.0187,0.832,0.676614367,597453,8157,90807,17149,0.075558561,1,0,0,3
