Index,len,Filename,p,Neg,Pos,$\frac{\text{Pos}}{\text{Neg}+\text{Pos}}$,TN,FP,FN,TP,Prec,FP/P
139599,144949,LogReg_alpha_balanced_Easy_Run_0,0.7289230691296446,1,0,0.0,594814,10796,102769,5187,0.32453231558530937,0.10000370521323503
139865,145207,LogReg_alpha_balanced_Easy_Run_1,0.7288806266118592,1,0,0.0,594814,10796,102770,5186,0.3244900513077212,0.10000370521323503
439050,458530,RFC_Hard_Run_0,0.2483468016873312,1,0,0.0,594814,10796,98176,9780,0.47531104199066876,0.10000370521323503
485326,504600,RFC_Hard_Run_1,0.2490334477710487,0,1,1.0,594814,10796,98550,9406,0.4655974655974656,0.10000370521323503
194527,210190,RFC_Medium_Run_0,0.2290620295898209,2,0,0.0,594814,10796,99373,8583,0.4429021105320192,0.10000370521323503
140694,153350,RFC_Medium_Run_1,0.2316340782275721,1,0,0.0,594814,10796,99157,8799,0.44904312324572593,0.10000370521323503
21363,22872,RFC_Easy_Run_0,0.2047949007541075,2,0,0.0,594792,10818,102940,5016,0.31678666161424784,0.10020749194116121
45502,47035,RFC_Easy_Run_1,0.2050466272829056,20,10,0.3333333333333333,594823,10787,103006,4950,0.3145453390099765,0.09992033791544704
684416,706937,RUSBoost_Hard_Run_0,0.5004145588078953,1,0,0.0,594814,10796,96082,11874,0.5237759153065725,0.10000370521323503
684314,706836,RUSBoost_Hard_Run_1,0.5004138190173618,0,1,1.0,594814,10796,96068,11888,0.5240698289543291,0.10000370521323503
641031,654140,RUSBoost_Medium_Run_0,0.5027887934782148,1,0,0.0,594814,10796,104680,3276,0.232802728823195,0.10000370521323503
640930,654335,RUSBoost_Medium_Run_1,0.5025206757000442,1,0,0.0,594814,10796,104435,3521,0.2459314102116365,0.10000370521323503
137065,141828,RUSBoost_Easy_Run_0,0.5086194323755485,1,0,0.0,594814,10796,104106,3850,0.2628704083026082,0.10000370521323503
140206,145110,RUSBoost_Easy_Run_1,0.5076469700539444,3,1,0.25,594809,10801,104362,3594,0.24967002431399793,0.10005002037867279
