Index,Filename,Roll,Min/Max,Min,Max,Diff,y_proba,Neg,Pos,mprob,TN,FP,FN,TP,FP/P
9535,BRFC_alpha_0_5_Easy_Run_2_Round_4,mProb_200,Min,0.9549,0.9767,0.02180000000000004,0.9549,691.0,667.0,0.49116347569955815,604694,916,106896,1060,0.008484938308199637
9733,BRFC_alpha_0_5_Easy_Run_2_Round_4,mProb_200,Max,0.9549,0.9767,0.02180000000000004,0.9767,465.0,483.0,0.509493670886076,605260,350,107486,470,0.003242061580643966
9562,BRFC_alpha_0_5_Easy_Run_2_Round_4,mProb_500,Min,0.9578,0.9639,0.006099999999999994,0.9578,1711.0,1650.0,0.49092531984528415,604786,824,106987,969,0.007632739264144652
9621,BRFC_alpha_0_5_Easy_Run_2_Round_4,mProb_500,Max,0.9578,0.9639,0.006099999999999994,0.9639,1620.0,1673.0,0.5080473732159125,604953,657,107181,775,0.006085812738523102
491,BRFC_alpha_balanced_Hard_Run_2_Round_4,mProb_1,Min,0.2371,0.9989,0.7618,0.2371,1.0,1.0,0.5,157438,448172,3671,104285,4.151432064915336
3950,BRFC_alpha_balanced_Hard_Run_2_Round_4,mProb_1,Max,0.2371,0.9989,0.7618,0.9989,1.0,1.0,0.5,605598,12,107836,120,0.00011115639705065027
2625,BRFC_alpha_balanced_Hard_Run_2_Round_4,mProb_10,Min,0.6826,0.9349,0.25229999999999997,0.6826,8.0,8.0,0.5,565354,40256,66362,41594,0.3728926599725814
3850,BRFC_alpha_balanced_Hard_Run_2_Round_4,mProb_10,Max,0.6826,0.9349,0.25229999999999997,0.9349,8.0,8.0,0.5,604614,996,104610,3346,0.009225980955203971
2975,BRFC_alpha_balanced_Hard_Run_2_Round_4,mProb_20,Min,0.7436,0.8954,0.15179999999999993,0.7436,17.0,17.0,0.5,582815,22795,76874,31082,0.21115083923079772
3727,BRFC_alpha_balanced_Hard_Run_2_Round_4,mProb_20,Max,0.7436,0.8954,0.15179999999999993,0.8954,18.0,18.0,0.5,602714,2896,100033,7923,0.02682574382155693
3150,BRFC_alpha_balanced_Hard_Run_2_Round_4,mProb_50,Min,0.7748,0.8362,0.06140000000000001,0.7748,114.0,116.0,0.5043478260869565,588945,16665,81876,26080,0.15436844640409056
3485,BRFC_alpha_balanced_Hard_Run_2_Round_4,mProb_50,Max,0.7748,0.8362,0.06140000000000001,0.8362,102.0,101.0,0.4975369458128079,597692,7918,91479,16477,0.07334469598725407
3233,BRFC_alpha_balanced_Hard_Run_2_Round_4,mProb_100,Min,0.7888,0.7992,0.010400000000000076,0.7888,1716.0,1721.0,0.5007273785277858,590881,14729,83588,24368,0.13643521434658565
3291,BRFC_alpha_balanced_Hard_Run_2_Round_4,mProb_100,Max,0.7888,0.7992,0.010400000000000076,0.7992,3079.0,3166.0,0.5069655724579664,592541,13069,85278,22678,0.12105857942124569
3223,BRFC_alpha_balanced_Hard_Run_2_Round_4,mProb_200,Min,0.7873,0.7981,0.010800000000000032,0.7873,5045.0,4895.0,0.4924547283702213,590811,14799,83514,24442,0.13708362666271445
3282,BRFC_alpha_balanced_Hard_Run_2_Round_4,mProb_200,Max,0.7873,0.7981,0.010800000000000032,0.7981,6248.0,6331.0,0.503299149375944,592478,13132,85200,22756,0.1216421505057616
3209,BRFC_alpha_balanced_Hard_Run_2_Round_4,mProb_500,Min,0.7853,0.7952,0.00990000000000002,0.7853,14868.0,14602.0,0.4954869358669834,590791,14819,83494,24462,0.13726888732446552
3266,BRFC_alpha_balanced_Hard_Run_2_Round_4,mProb_500,Max,0.7853,0.7952,0.00990000000000002,0.7952,15762.0,15958.0,0.5030895334174023,592449,13161,85136,22820,0.12191077846530068
3226,BRFC_alpha_balanced_Hard_Run_2_Round_4,mProb_1000,Min,0.7879,0.7984,0.010499999999999954,0.7879,30732.0,30008.0,0.49404017122160027,590829,14781,83536,24420,0.13691689206713847
3284,BRFC_alpha_balanced_Hard_Run_2_Round_4,mProb_1000,Max,0.7879,0.7984,0.010499999999999954,0.7984,31032.0,31142.0,0.5008846141473928,592484,13126,85202,22754,0.12158657230723628
6,BRFC_alpha_balanced_Medium_Run_2_Round_4,mProb_1,Min,0.0088,0.9966,0.9878,0.0088,1.0,1.0,0.5,387,605223,3,107953,5.606200674348809
9443,BRFC_alpha_balanced_Medium_Run_2_Round_4,mProb_1,Max,0.0088,0.9966,0.9878,0.9966,1.0,1.0,0.5,605562,48,107783,173,0.0004446255882026011
8105,BRFC_alpha_balanced_Medium_Run_2_Round_4,mProb_10,Min,0.8498,0.9892,0.13939999999999997,0.8498,741.0,728.0,0.49557522123893805,590939,14671,94728,13228,0.13589795842750751
9412,BRFC_alpha_balanced_Medium_Run_2_Round_4,mProb_10,Max,0.8498,0.9892,0.13939999999999997,0.9892,30.0,29.0,0.4915254237288136,605451,159,107548,408,0.001472822260921116
8396,BRFC_alpha_balanced_Medium_Run_2_Round_4,mProb_20,Min,0.8791,0.982,0.10289999999999999,0.8791,806.0,821.0,0.5046097111247695,596241,9369,98768,9188,0.0867853569972952
9369,BRFC_alpha_balanced_Medium_Run_2_Round_4,mProb_20,Max,0.8791,0.982,0.10289999999999999,0.982,21.0,21.0,0.5,605363,247,107486,470,0.0022879691726258844
8501,BRFC_alpha_balanced_Medium_Run_2_Round_4,mProb_50,Min,0.8896,0.9216,0.03200000000000003,0.8896,995.0,959.0,0.4907881269191402,597861,7749,100061,7895,0.07177924339545741
8817,BRFC_alpha_balanced_Medium_Run_2_Round_4,mProb_50,Max,0.8896,0.9216,0.03200000000000003,0.9216,603.0,627.0,0.5097560975609756,601917,3693,103793,4163,0.03420838119233762
8655,BRFC_alpha_balanced_Medium_Run_2_Round_4,mProb_100,Min,0.9051,0.9459,0.04079999999999995,0.9051,1584.0,1593.0,0.5014164305949008,599941,5669,101950,6006,0.05251213457334469
9058,BRFC_alpha_balanced_Medium_Run_2_Round_4,mProb_100,Max,0.9051,0.9459,0.04079999999999995,0.9459,659.0,683.0,0.5089418777943369,603762,1848,105507,2449,0.01711808514580014
8702,BRFC_alpha_balanced_Medium_Run_2_Round_4,mProb_200,Min,0.9098,0.9461,0.0363,0.9098,2613.0,2527.0,0.49163424124513616,600431,5179,102305,5651,0.047973248360443144
9060,BRFC_alpha_balanced_Medium_Run_2_Round_4,mProb_200,Max,0.9098,0.9461,0.0363,0.9461,1358.0,1409.0,0.5092157571376943,603771,1839,105510,2446,0.01703471784801215
8848,BRFC_alpha_balanced_Medium_Run_2_Round_4,mProb_500,Min,0.9248,0.9475,0.022700000000000053,0.9248,5008.0,4883.0,0.49368112425437266,602071,3539,103863,4093,0.03278187409685428
9074,BRFC_alpha_balanced_Medium_Run_2_Round_4,mProb_500,Max,0.9248,0.9475,0.022700000000000053,0.9475,3224.0,3354.0,0.5098814229249012,603833,1777,105566,2390,0.016460409796583794
8919,BRFC_alpha_balanced_Medium_Run_2_Round_4,mProb_1000,Min,0.932,0.9353,0.0032999999999999696,0.932,8595.0,8301.0,0.4912997159090909,602832,2778,104684,3272,0.025732705917225537
8952,BRFC_alpha_balanced_Medium_Run_2_Round_4,mProb_1000,Max,0.932,0.9353,0.0032999999999999696,0.9353,8408.0,8376.0,0.4990467111534795,602983,2627,104758,3198,0.024333987921004854
2270,BRFC_alpha_balanced_Easy_Run_2_Round_4,mProb_1,Min,0.2321,0.9998,0.7677,0.2321,2.0,2.0,0.5,45869,559741,3071,104885,5.184899403460669
9944,BRFC_alpha_balanced_Easy_Run_2_Round_4,mProb_1,Max,0.2321,0.9998,0.7677,0.9998,1.0,1.0,0.5,605522,88,107819,137,0.0008151469117047686
9722,BRFC_alpha_balanced_Easy_Run_2_Round_4,mProb_10,Min,0.9773,0.9993,0.02200000000000002,0.9773,160.0,164.0,0.5061728395061729,603577,2033,106032,1924,0.018831746266997667
9940,BRFC_alpha_balanced_Easy_Run_2_Round_4,mProb_10,Max,0.9773,0.9993,0.02200000000000002,0.9993,27.0,27.0,0.5,605509,101,107812,144,0.0009355663418429731
9805,BRFC_alpha_balanced_Easy_Run_2_Round_4,mProb_20,Min,0.9856,0.9989,0.013299999999999979,0.9856,181.0,179.0,0.49722222222222223,604712,898,106967,989,0.008318203712623661
9936,BRFC_alpha_balanced_Easy_Run_2_Round_4,mProb_20,Max,0.9856,0.9989,0.013299999999999979,0.9989,57.0,56.0,0.49557522123893805,605502,108,107798,158,0.0010004075734558523
9810,BRFC_alpha_balanced_Easy_Run_2_Round_4,mProb_50,Min,0.9861,0.9973,0.011199999999999988,0.9861,490.0,472.0,0.49064449064449067,604746,864,107007,949,0.008003260587646818
9921,BRFC_alpha_balanced_Easy_Run_2_Round_4,mProb_50,Max,0.9861,0.9973,0.011199999999999988,0.9973,165.0,164.0,0.49848024316109424,605444,166,107750,206,0.0015376634925339952
9814,BRFC_alpha_balanced_Easy_Run_2_Round_4,mProb_100,Min,0.9865,0.9945,0.008000000000000007,0.9865,943.0,910.0,0.4910955207771182,604793,817,107058,898,0.007567898032531772
9894,BRFC_alpha_balanced_Easy_Run_2_Round_4,mProb_100,Max,0.9865,0.9945,0.008000000000000007,0.9945,469.0,487.0,0.5094142259414226,605356,254,107655,301,0.002352810404238764
9847,BRFC_alpha_balanced_Easy_Run_2_Round_4,mProb_200,Min,0.9898,0.9898,0.0,0.9898,1615.0,1577.0,0.49404761904761907,605073,537,107345,611,0.0049742487680166
9847,BRFC_alpha_balanced_Easy_Run_2_Round_4,mProb_200,Max,0.9898,0.9898,0.0,0.9898,1615.0,1577.0,0.49404761904761907,605073,537,107345,611,0.0049742487680166
