,y_proba,y_test,Neg,Pos,TN,FP,FN,TP,FP/P,Prec,TP_1,FP_1,Prec_1,Min_1,Max_1,TP_10,FP_10,Prec_10,Min_10,Max_10,TP_20,FP_20,Prec_20,Min_20,Max_20,TP_50,FP_50,Prec_50,Min_50,Max_50,TP_100,FP_100,Prec_100,Min_100,Max_100,TP_200,FP_200,Prec_200,Min_200,Max_200,TP_500,FP_500,Prec_500,Min_500,Max_500,TP_1000,FP_1000,Prec_1000,Min_1000,Max_1000,TP_2000,FP_2000,Prec_2000,Min_2000,Max_2000,mProb,Pos_1,Neg_1,mProb_1,p_Min_1,p_Max_1,Pos_10,Neg_10,mProb_10,p_Min_10,p_Max_10,Pos_20,Neg_20,mProb_20,p_Min_20,p_Max_20,Pos_50,Neg_50,mProb_50,p_Min_50,p_Max_50,Pos_100,Neg_100,mProb_100,p_Min_100,p_Max_100,Pos_200,Neg_200,mProb_200,p_Min_200,p_Max_200,Pos_500,Neg_500,mProb_500,p_Min_500,p_Max_500,Pos_1000,Neg_1000,mProb_1000,p_Min_1000,p_Max_1000,Pos_2000,Neg_2000,mProb_2000,p_Min_2000,p_Max_2000
22,0.0567,0,6,0,4793,671651,38,126218,5.319755100747687,0.1581938889717485,126218.0,671651.0,0.1581938889717485,,0.0567,126214.4,671174.7,0.15828458151735458,,0.0567,126215.95,671247.5,0.1582717678158165,,0.0567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,6.0,0.0,,0.0567,39.0,4212.0,0.009174311926605505,,0.0567,39.0,4268.0,0.009055026700719759,,0.0567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,0.0575,0,2,0,4795,671649,38,126218,5.319739259916361,0.15819428551375103,126218.0,671649.0,0.15819428551375103,,0.0575,126212.3,670928.7,0.15833121116590415,,0.0575,126214.0,671034.5,0.1583119943154487,,0.0575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,2.0,0.0,,0.0575,21.0,2460.0,0.008464328899637243,,0.0575,39.0,4260.0,0.009071877180739707,,0.0575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,0.0589,0,1,0,4796,671648,38,126218,5.319731339500697,0.1581944837854978,126218.0,671648.0,0.1581944837854978,,0.0589,126210.2,670682.7,0.1583778698492608,,0.0589,126212.05,670821.1,0.15835232198309443,,0.0589,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,1.0,0.0,,0.0589,21.0,2460.0,0.008464328899637243,,0.0589,39.0,4268.0,0.009055026700719759,,0.0589,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,0.06,20,2427,20,7223,669221,58,126198,5.3005084906855915,0.15865600394257617,126198.0,669221.0,0.15865600394257617,,0.06,126208.1,670436.6,0.15842457748102765,,0.06,126210.1,670607.65,0.15839268138793344,,0.06,126205.28,670468.42,0.15841527089447033,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,0.008173273395995096,20.0,2427.0,0.008173273395995096,,0.06,21.0,2461.0,0.008460918614020952,,0.06,39.0,4269.0,0.009052924791086351,,0.06,134.0,13646.0,0.009724238026124819,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,
26,0.061,0,1,0,7224,669220,58,126198,5.300500570269928,0.15865620340500214,126198.0,669220.0,0.15865620340500214,,0.061,126206.0,670190.1,0.15847139382023595,,0.061,126208.15,670394.2,0.15843306261900936,,0.061,126202.6,670197.7,0.15846628887507955,,0.061,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,1.0,0.0,,0.061,21.0,2465.0,0.008447304907481898,,0.061,39.0,4269.0,0.009052924791086351,,0.061,134.0,13536.0,0.009802487198244331,,0.061,,,,,,,,,,,,,,,,,,,,,,,,,
27,0.0617,0,1,0,7225,669219,58,126198,5.300492649854264,0.15865640286792965,126198.0,669219.0,0.15865640286792965,,0.0617,126204.0,669942.2,0.1585186238406966,,0.0617,126206.2,670180.75,0.15847346569403228,,0.0617,126199.92,669926.96,0.15851734587833538,,0.0617,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,1.0,0.0,,0.0617,20.0,2479.0,0.008003201280512205,,0.0617,39.0,4269.0,0.009052924791086351,,0.0617,134.0,13537.0,0.009801770170433766,,0.0617,,,,,,,,,,,,,,,,,,,,,,,,,
28,0.0625,0,2,0,7227,669217,58,126198,5.300476809022937,0.15865680179528927,126198.0,669217.0,0.15865680179528927,,0.0625,126202.0,669694.7,0.1585658038285622,,0.0625,126203.35,669912.1,0.1585239301661587,,0.0625,126197.24,669660.48,0.15856758919169622,,0.0625,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,2.0,0.0,,0.0625,20.0,2475.0,0.008016032064128256,,0.0625,57.0,5373.0,0.010497237569060774,,0.0625,134.0,13324.0,0.009956902957348789,,0.0625,,,,,,,,,,,,,,,,,,,,,,,,,
29,0.0633,0,5,0,7232,669212,58,126198,5.30043720694462,0.15865779912246514,126198.0,669212.0,0.15865779912246514,,0.0633,126200.0,669446.5,0.15861315295171913,,0.0633,126200.5,669643.5,0.15857441910726222,,0.0633,126194.66,669402.7,0.15861623774116093,,0.0633,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,5.0,0.0,,0.0633,20.0,2482.0,0.007993605115907274,,0.0633,57.0,5372.0,0.010499171118069627,,0.0633,129.0,12889.0,0.009909356275925641,,0.0633,,,,,,,,,,,,,,,,,,,,,,,,,
30,0.064,0,5,0,7237,669207,58,126198,5.300397604866303,0.15865879646217965,126198.0,669207.0,0.15865879646217965,,0.064,126198.0,669198.2,0.15866055181053165,,0.064,126197.65,669374.95,0.15862493253287002,,0.064,126192.08,669144.98,0.15866490617198198,,0.064,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,5.0,0.0,,0.064,20.0,2483.0,0.007990411506192568,,0.064,57.0,5371.0,0.010501105379513632,,0.064,129.0,12886.0,0.009911640414905878,,0.064,,,,,,,,,,,,,,,,,,,,,,,,,
31,0.065,0,29,0,7266,669178,58,126198,5.300167912812064,0.15866458127979724,126198.0,669178.0,0.15866458127979724,,0.065,126198.0,669192.5,0.1586616888182597,,0.065,126194.8,669106.2,0.1586755203375829,,0.065,126189.48,668886.94,0.15871364918607447,,0.065,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,29.0,0.0,,0.065,0.0,57.0,0.0,,0.065,57.0,5375.0,0.010493372606774668,,0.065,130.0,12902.0,0.009975445058317987,,0.065,,,,,,,,,,,,,,,,,,,,,,,,,
